Team name,Profile team,Wiki URL,Region,Country,Track,Kind,Section,Application
GEMS-Taiwan,https://old.igem.org/Team.cgi?team_id=4852,https://2023.igem.wiki/gems-taiwan,Asia,Taiwan,High School,Commercial,hs,Accepted
GeorgiaState-SWJTU,https://old.igem.org/Team.cgi?team_id=4736,https://2023.igem.wiki/georgiastate-swjtu,North America,United States,Biomanufacturing,Collegiate,over,Accepted
Gifu,https://old.igem.org/Team.cgi?team_id=4715,https://2023.igem.wiki/gifu,Asia,Japan,Foundational Advance,Collegiate,under,Accepted
GreatBay-SCIE,https://old.igem.org/Team.cgi?team_id=4825,https://2023.igem.wiki/greatbay-scie,Asia,China,High School,High School,hs,Accepted
Groningen,https://old.igem.org/Team.cgi?team_id=4720,https://2023.igem.wiki/groningen,Europe,Netherlands,Diagnostics,Collegiate,over,Accepted
GU-Frankfurt,https://old.igem.org/Team.cgi?team_id=4660,https://2023.igem.wiki/gu-frankfurt,Europe,Germany,Environment,Collegiate,over,Accepted
Guangxi-U-China,https://old.igem.org/Team.cgi?team_id=4581,https://2023.igem.wiki/guangxi-u-china,Asia,China,Therapeutics,Collegiate,over,Accepted
Guangzhou-MedX,https://old.igem.org/Team.cgi?team_id=4891,https://2023.igem.wiki/guangzhou-medx,Asia,China,High School,Commercial,hs,Accepted
Guelph,https://old.igem.org/Team.cgi?team_id=4597,https://2023.igem.wiki/guelph,North America,Canada,Food &amp; Nutrition,Collegiate,over,Accepted
GXU-China,https://old.igem.org/Team.cgi?team_id=4678,https://2023.igem.wiki/gxu-china,Asia,China,Biomanufacturing,Collegiate,under,Accepted
H14Z-AP,https://old.igem.org/Team.cgi?team_id=4723,https://2023.igem.wiki/h14z-ap,Asia,China,High School,High School,hs,Accepted
HainanU-China,https://old.igem.org/Team.cgi?team_id=4797,https://2023.igem.wiki/hainanu-china,Asia,China,Therapeutics,Collegiate,over,Accepted
Hamburg,https://old.igem.org/Team.cgi?team_id=4669,https://2023.igem.wiki/hamburg,Europe,Germany,Therapeutics,Collegiate,over,Accepted
Hangzhou-BioX,https://old.igem.org/Team.cgi?team_id=4883,https://2023.igem.wiki/hangzhou-biox,Asia,China,High School,Commercial,hs,Accepted
Hangzhou-SDG,https://old.igem.org/Team.cgi?team_id=4882,https://2023.igem.wiki/hangzhou-sdg,Asia,China,High School,Commercial,hs,Accepted
Harvard,https://old.igem.org/Team.cgi?team_id=4999,https://2023.igem.wiki/harvard,North America,United States,Foundational Advance,Collegiate,under,Accepted
HBUT-China,https://old.igem.org/Team.cgi?team_id=4687,https://2023.igem.wiki/hbut-china,Asia,China,Foundational Advance,Collegiate,under,Accepted
Heidelberg,https://old.igem.org/Team.cgi?team_id=4757,https://2023.igem.wiki/heidelberg,Europe,Germany,Bioremediation,Collegiate,over,Accepted
